,lp,DA,system,BEER,BERTr,CharacTER,EED,ESIM,LASIM,LEPORa,LP,Meteor++_2.0(syntax),Meteor++_2.0(syntax+copy),PReP,UNI,UNI+,USFD,USFD-TL,YiSi-0,YiSi-1,YiSi-1_srl,YiSi-2,YiSi-2_srl,ibm1-morpheme,ibm1-pos4gram,segid,testset,NIST,BLEU,chrF,sacreBLEU-BLEU,TER,CDER,sacreBLEU-chrF,WER,chrF+,PER,LEPORb,WMDO
10,en-cs,-0.6509999999999999,online-X.0,0.5010312812027884,,-0.583295065123788,-0.4436783652303066,,,,,,,,0.44967013519579363,,,,0.5627752408612919,0.8129561076614923,,0.748432821732599,,-487756.7170832724,,5622.518277416124,newstest2019,4.0532,0.1271,45.5748,0.1805,0.3085,0.359,44.6776,0.2885,45.6836,0.4513,,
11,en-gu,0.6629999999999999,online-B.0,0.7586767764082009,,-0.22228199096408038,-0.17211560905364645,,,0.8225483701956364,,,,,,,,,0.865825744488978,0.9235869298597195,,0.6189393657314629,,,,499.5,newstest2019,10.2567,0.6175,88.7915,0.6176,0.7211,0.7857,79.2258,0.6979,87.4708,0.8158,0.822548370195636,
12,en-gu,0.597,GTCOM-Primary.6970,0.6023500482988933,,-0.4219068929606936,-0.31512861834668215,,,0.6542590820620175,,,,,,,,,0.7467142885771543,0.8638854509018037,,0.6201378056112226,,,,499.5,newstest2019,6.8559,0.287,79.9585,0.287,0.4671,0.5746,59.3016,0.4335,77.1031,0.6383,0.6542590820620179,
13,en-gu,0.318,MSRA.CrossBERT.6991,0.5112998150893809,,-0.5488943070094486,-0.4215786045544103,,,0.5469079551501639,,,,,,,,,0.6609787695390782,0.8224750400801603,,0.6193286833667335,,,,499.5,newstest2019,5.1995,0.1657,71.5031,0.1657,0.3662,0.4515,45.5683,0.3347,68.197,0.5588,0.546907955150164,
14,en-gu,0.305,UEDIN.6849,0.5220687529635477,,-0.5245488820272541,-0.3968117880272886,,,0.5492705660246286,,,,,,,,,0.671942507014028,0.8274839458917835,,0.6203780821643287,,,,499.5,newstest2019,5.0697,0.1627,74.1348,0.1627,0.3519,0.4647,49.3676,0.3194,70.5159,0.5482,0.549270566024629,
15,en-gu,0.254,CUNI-T2T-transfer-engu.6466,0.510601342119647,,-0.581192740093443,-0.4224599471506112,,,0.5154803996955808,,,,,,,,,0.6657264398797595,0.821236391783567,,0.6151966432865731,,,,499.5,newstest2019,5.0244,0.1435,70.5072,0.1435,0.3651,0.4325,44.6971,0.3349,66.8223,0.5172,0.515480399695581,
16,en-gu,-0.079,Ju_Saarland_clean_num_135_bpe.6617,0.5290305394191529,,-0.5667203776774287,-0.4262077058096209,,,0.5751272643599312,,,,,,,,,0.6697403947895791,0.8114637605210421,,0.6226983096192384,,,,499.5,newstest2019,6.0484,0.2199,67.1563,0.2199,0.4025,0.4721,46.791,0.3727,64.9535,0.5579,0.575127264359932,
17,en-gu,-0.45799999999999996,IITP-MT.6827,0.4334811778943303,,-0.6962103074380316,-0.5169078563983909,,,0.41616585353466085,,,,,,,,,0.5799999595691384,0.7782919068136274,,0.6177169919839679,,,,499.5,newstest2019,3.5953,0.0825,65.1946,0.0825,0.2162,0.3391,36.5131,0.1859,61.2177,0.461,0.416165853534661,
18,en-gu,-0.465,NICT.6604,0.4486367410137652,,-0.6783746417978664,-0.505015130858413,,,0.44353903702611175,,,,,,,,,0.6016972704408817,0.7836481042084168,,0.6104715230460922,,,,499.5,newstest2019,3.9135,0.1032,64.5324,0.1033,0.2503,0.3606,36.8008,0.2246,60.8196,0.4666,0.4435390370261121,
19,en-gu,-0.49,online-G.0,0.4814158693442532,,-0.7006633682097252,-0.4918264058868369,,,0.5057079960330081,,,,,,,,,0.6274773076152305,0.7932861733466934,,0.6311753426853708,,,,499.5,newstest2019,4.5702,0.0905,68.9542,0.0906,0.2455,0.3889,41.4659,0.1951,65.9024,0.5314,0.505707996033008,
20,en-gu,-0.502,online-X.0,0.42518292260810475,,-0.7381150576623439,-0.5374488442369134,,,0.43221829909047815,,,,,,,,,0.582176865761523,0.7614782975951905,,0.6257800380761522,,,,499.5,newstest2019,3.9711,0.1095,55.2559,0.1096,0.2599,0.3372,30.544,0.2369,53.0292,0.423,0.432218299090478,
21,en-gu,-0.718,UdS-DFKI.6866,0.4365425946480315,,-0.7407210809878829,-0.540729936369077,,,0.42811595709543554,,,,,,,,,0.5853343126252505,0.7587964288577154,,0.5843158567134269,,,,499.5,newstest2019,3.7973,0.0704,65.0628,0.0704,0.1412,0.3307,35.4055,0.106,60.7317,0.3798,0.428115957095435,
22,en-lt,0.38799999999999996,tilde-nc-nmt.6696,0.5374474620642838,,-0.5485980322538296,-0.39938115444639044,0.5137306679831538,,,,,,,,,,,0.5863872244488978,0.8274020440881763,,0.7124831302605211,,-735498.8351011002,,538.1122244488978,newstest2019,5.7387,0.2019,51.5687,0.2079,0.3674,0.4091,51.6385,0.3421,51.1864,0.5163,0.500288778429375,
23,en-lt,0.387,MSRA.MASS.6954,0.540143659620927,,-0.5458671473212535,-0.39726994978170654,0.5124349797924678,,,,,,,,,,,0.5898907715430862,0.8293094418837675,,0.7232814118236474,,-738504.5875525781,,538.1122244488978,newstest2019,5.7319,0.2054,51.919,0.216,0.3674,0.4133,51.7559,0.3398,51.6125,0.5261,0.506413553920015,
24,en-lt,0.262,tilde-c-nmt.6695,0.5329876289976957,,-0.5559056935781209,-0.40585614275187254,0.4895497957307039,,,,,,,,,,,0.579832511022044,0.826423380761523,,0.7193388126252506,,-745518.8496727104,,538.1122244488978,newstest2019,5.5971,0.1956,51.2273,0.2074,0.3575,0.4061,51.1672,0.3319,50.9109,0.5209,0.49774581089736103,
25,en-lt,0.259,MSRA.MASS.6931,0.5350332044262102,,-0.5487850681723326,-0.4030730968634253,0.4861974849855343,,,,,,,,,,,0.5849138687374749,0.826035611222445,,0.7270025881763527,,-747522.8195900592,,538.1122244488978,newstest2019,5.6214,0.1975,51.2154,0.2069,0.3593,0.4035,51.0287,0.3334,50.8646,0.5146,0.495972938249296,
26,en-lt,0.155,GTCOM-Primary.7001,0.5353089545922101,,-0.532496916746456,-0.3974615130181572,0.49541055107907295,,,,,,,,,,,0.592159773547094,0.830669995991984,,0.7241480300601203,,-580186.895144957,,538.1122244488978,newstest2019,5.4081,0.1807,50.68,0.1925,0.3407,0.3924,51.8908,0.3174,50.4299,0.495,0.495837806538368,
27,en-lt,0.036000000000000004,eTranslation.6836,0.5189901681156006,,-0.5645374731399502,-0.41764381509236914,0.4202961715209841,,,,,,,,,,,0.5675354488977956,0.8197153827655311,,0.7267331663326654,,-737502.3738777626,,538.1122244488978,newstest2019,5.1956,0.1731,49.2447,0.1837,0.3241,0.3804,49.4671,0.2986,48.892,0.4902,0.47274134579733096,
28,en-lt,-0.054000000000000006,NEU.6760,0.5196651298820685,,-0.5737562153350371,-0.4178330677427083,0.4212287709225186,,,,,,,,,,,0.5673639681362725,0.8174694959919838,,0.7310075470941885,,-682391.5011404909,,538.1122244488978,newstest2019,5.2458,0.1734,49.2928,0.1841,0.3142,0.3847,49.308,0.2872,49.0469,0.4831,0.48039057935271295,
29,en-lt,-0.061,online-B.0,0.5022581644195216,,-0.597757673084721,-0.43605475907049746,0.38363836566266235,,,,,,,,,,,0.5516465511022044,0.8106941513026054,,0.7241761823647295,,-735497.3448579139,,538.1122244488978,newstest2019,4.9573,0.161,46.5807,0.1713,0.3078,0.368,46.9563,0.2859,46.2723,0.4759,0.452389787219837,
30,en-lt,-0.38299999999999995,TartuNLP-c.6510,0.483385924145033,,-0.6155458558988699,-0.451554230345275,0.33070861047669453,,,,,,,,,,,0.5269536943887776,0.8004871172344689,,0.7258760420841683,,-645317.3400383628,,538.1122244488978,newstest2019,4.4997,0.1316,44.6172,0.1382,0.283,0.3366,44.5569,0.2647,44.1635,0.444,0.42233237136433793,
31,en-lt,-0.62,online-A.0,0.47380446088873407,,-0.6317754540596452,-0.4681732034915405,0.20997772664662248,,,,,,,,,,,0.5165591703406814,0.7903965581162326,,0.7301161703406813,,-549123.601061015,,538.1122244488978,newstest2019,4.0513,0.0918,42.2566,0.0977,0.2297,0.2867,43.3404,0.2096,41.7736,0.4034,0.39387696624989005,
32,en-lt,-0.6659999999999999,online-X.0,0.46414840103622534,,-0.6528278959342507,-0.4804676671014102,0.2151711243333086,,,,,,,,,,,0.5092416653306613,0.7761769118236472,,0.6980241713426855,,-512048.8733938077,,538.1122244488978,newstest2019,4.1918,0.1101,40.4748,0.1174,0.2186,0.279,40.8342,0.2023,40.2557,0.3787,0.41082584877855605,
33,en-lt,-0.805,online-G.0,0.46546907383424574,,-0.6400805105261638,-0.4736136097707347,0.1824792681076659,,,,,,,,,,,0.5109927164328657,0.7867194388777555,,0.7281868406813629,,-575175.2615761673,,538.1122244488978,newstest2019,3.8675,0.0896,41.3976,0.0954,0.2004,0.2768,42.7197,0.1796,40.9238,0.3572,0.38542655786988506,
34,de-cs,0.426,online-Y.0,0.5301456879615916,,-0.5650474933398464,-0.4191206464677784,0.6189608991101317,,0.555060635632485,,,,,,,,,0.5881108572859288,0.8394305307961942,,0.7801741572358537,,-490760.4965915423,,2630.6649974962443,newstest2019,5.9616,0.1837,50.2529,0.2168,0.3782,0.4124,49.3454,0.3497,50.2033,0.5212,0.512319080393645,
35,de-cs,0.386,online-B.0,0.5225607580710213,,-0.5775534984568373,-0.43055984778021933,0.5763224267053829,,0.5431593902351366,,,,,,,,,0.577114348022033,0.8336268067100651,,0.7760799043565347,,-609438.8294914161,,2630.6649974962443,newstest2019,5.8164,0.1787,48.6235,0.2026,0.3618,0.3946,47.8331,0.3356,48.6447,0.4999,0.502064891791382,
36,de-cs,0.36700000000000005,NICT.6938,0.5193347745344633,,-0.5746648331089083,-0.43114192533676604,0.5767012143894213,,0.5540326745553771,,,,,,,,,0.5713152402603906,0.8316707576364547,,0.7849495833750626,,-484250.8636532268,,2630.6649974962443,newstest2019,5.2581,0.1565,48.9261,0.2108,0.3513,0.4069,47.7153,0.3246,49.1023,0.5088,0.479132596906093,
37,de-cs,0.319,online-G.0,0.5163191295874174,,-0.580130460887706,-0.4331930176041084,0.541230591715201,,0.5352553460005548,,,,,,,,,0.5728267033049574,0.8290032999499248,,0.7745727381071608,,-640986.4926004062,,2630.6649974962443,newstest2019,5.4352,0.1601,47.9812,0.1892,0.3324,0.3773,46.8592,0.3073,48.0167,0.4857,0.48806166832398795,
38,de-cs,0.179,NEU_KingSoft.6766,0.5094870986394053,,-0.5840486771681263,-0.4427041267777029,0.5235505208189324,,0.5359795678070364,,,,,,,,,0.5598588136204306,0.8263788017025538,,0.7876360255383075,,-533324.8791079344,,2630.6649974962443,newstest2019,4.9522,0.1373,47.3588,0.1966,0.3474,0.3925,46.3665,0.3225,47.4632,0.5042,0.437888651651339,
39,de-cs,0.134,online-A.0,0.5015016136132023,,-0.6044660814889168,-0.4519828274954739,0.5202592369346214,,0.517084103407423,,,,,,,,,0.5531887764146218,0.8206732699048573,,0.7639565713570355,,-650500.8260029318,,2630.6649974962443,newstest2019,5.2347,0.1454,45.7034,0.1703,0.3199,0.3619,45.1015,0.296,45.7728,0.4685,0.47192328276482104,
40,de-cs,-0.099,lmu-unsup-nmt-de-cs.6845,0.4879442127604765,,-0.6178357900663917,-0.4690277711154858,0.451625354404752,,0.5082736718599504,,,,,,,,,0.5321181222834251,0.8138356614922384,,0.7816369138708061,,-515798.4221875454,,2630.6649974962443,newstest2019,4.6516,0.123,44.5525,0.1796,0.3275,0.3712,43.4896,0.3058,44.686,0.4773,0.420123478921685,
41,de-cs,-0.165,CUNI-Unsupervised-NER-post.6934,0.4855173499840599,,-0.6278707581404473,-0.4710541098981603,0.4531483474297381,,0.4986049840198126,,,,,,,,,0.5286561280921382,0.8101175673510266,,0.7780338592889333,,-526816.2057971072,,2630.6649974962443,newstest2019,4.5401,0.1068,44.5998,0.1487,0.2971,0.3404,43.1071,0.2737,44.4714,0.457,0.424471929087504,
42,de-cs,-0.32799999999999996,Unsupervised.de-cs.6929,0.48607444807379596,,-0.6194026512653364,-0.4745527844116815,0.4080885620342365,,0.5157708422482122,,,,,,,,,0.5314479361542312,0.8088379614421632,,0.7763270330495743,,-564371.4770312209,,2630.6649974962443,newstest2019,4.399,0.1196,43.85,0.185,0.3269,0.3764,42.5284,0.306,44.1868,0.4812,0.404892596530371,
43,de-cs,-0.405,Unsupervised.de-cs.6935,0.47521109730185923,,-0.6352847895243263,-0.4850197577747364,0.3827731941674375,,0.4964091847211679,,,,,,,,,0.5187232562343516,0.8048290686029043,,0.7766875963945918,,-573885.7334014622,,2630.6649974962443,newstest2019,4.2708,0.1111,42.5495,0.1678,0.3098,0.3589,41.4357,0.2892,42.8062,0.4666,0.396366636203688,
44,de-cs,-0.807,CAiRE.6949,0.43001818292736976,,-0.7034412433822674,-0.5382047099036593,0.19055009112634141,,0.43684639924102164,,,,,,,,,0.4623333274912369,0.7717057401101654,,0.7486246359539308,,-672032.9776763235,,2630.6649974962443,newstest2019,3.8176,0.0845,36.42,0.1085,0.247,0.2992,34.5438,0.2282,36.7809,0.4143,0.36532294986902103,
45,en-kk,0.262,UAlacant_-_NMT.6718,0.481035013283146,,-0.6242655844091262,-0.46428287292892234,0.46946897021544265,,0.4568728033294717,,,,,,,,,0.5355761643286573,0.8050083416833668,,0.6731904669338677,,,,499.5,newstest2019,4.3974,0.1114,58.4408,0.1114,0.215,0.2851,44.6193,0.1929,55.785,0.3687,0.456872803329472,
46,en-kk,0.243,online-B.0,0.5213297407525265,,-0.5829956507599541,-0.4302599346918429,0.5627075454788488,,0.5020046696223958,,,,,,,,,0.5768287855711423,0.8213517725450902,,0.6747996633266534,,,,499.5,newstest2019,5.4495,0.1869,61.2388,0.1869,0.3236,0.3572,48.874,0.3038,58.7401,0.4441,0.502004669622396,
47,en-kk,0.222,UAlacant_-_NMT+RBMT.6722,0.47953636919053516,,-0.6244923085525506,-0.4664972299991739,0.45739014715913734,,0.4520272825896783,,,,,,,,,0.5330336563126252,0.8036458286573146,,0.6729733186372745,,,,499.5,newstest2019,4.3619,0.1112,58.4463,0.1112,0.209,0.2809,44.7757,0.1852,55.7183,0.3581,0.452027282589679,
48,en-kk,0.126,NEU.6755,0.4852920235517684,,-0.6227332507192708,-0.46239961374304694,0.45541353383846206,,0.46885457548094106,,,,,,,,,0.5410609779559118,0.804392127254509,,0.670849372745491,,,,499.5,newstest2019,4.6659,0.1235,58.6042,0.1235,0.258,0.3101,45.0762,0.2365,55.9221,0.4151,0.468854575480941,
49,en-kk,0.10800000000000001,MSRA.CrossBERT.6874,0.4701978137790628,,-0.6446662099068134,-0.48112695601457106,0.4264849881979381,,0.44419543746369117,,,,,,,,,0.5243524809619238,0.7967637214428858,,0.6673212114228457,,,,499.5,newstest2019,4.5176,0.1189,56.5179,0.1189,0.2466,0.2973,42.4707,0.2274,53.9651,0.4003,0.444195437463691,
50,en-kk,0.09699999999999999,CUNI-T2T-transfer-enkk.6554,0.4701712259604108,,-0.6477167950543335,-0.47885183679436394,0.4237728220166149,,0.43679236328278986,,,,,,,,,0.523410749498998,0.798194130260521,,0.6674317885771544,,,,499.5,newstest2019,4.2771,0.0996,57.7449,0.0996,0.2082,0.2703,44.1004,0.1881,54.715,0.3717,0.436792363282789,
51,en-kk,0.078,online-G.0,0.4971471232312615,,-0.6314513698867761,-0.4546819882656826,0.47950059686178986,,0.4813178773614752,,,,,,,,,0.5548712304609218,0.8118226122244488,,0.6758027314629259,,,,499.5,newstest2019,5.1844,0.1469,58.4898,0.1469,0.2791,0.3198,46.742,0.2527,55.9616,0.4216,0.481317877361475,
52,en-kk,-0.049,rug_enkk_bpe.6804,0.4607972233662166,,-0.7000447229292404,-0.4966758432576922,0.3820296182509004,,0.4308009118341916,,,,,,,,,0.512896996993988,0.7909465601202406,,0.6764892304609219,,,,499.5,newstest2019,4.6088,0.1186,53.1297,0.1186,0.2461,0.2954,40.9991,0.2274,50.8958,0.391,0.43080091183419206,
53,en-kk,-0.32799999999999996,talp_upc_2019_enkk.6355,0.42523900222002003,,-0.7139391789721588,-0.531939586717822,0.27513803258997377,,0.36133748476975575,,,,,,,,,0.46845172164328663,0.7647849178356713,,0.6572966723446894,,,,499.5,newstest2019,3.5801,0.0754,51.55,0.0754,0.157,0.2243,37.7148,0.1394,48.7634,0.3204,0.361337484769755,
54,en-kk,-0.493,NICT.6550,0.41840069944490355,,-0.7449653623077397,-0.5390358389927287,0.21330063973104615,,0.36063233558073576,,,,,,,,,0.4670061667134269,0.7600751803607214,,0.6577972565130261,,,,499.5,newstest2019,3.4852,0.0761,49.5058,0.076,0.1297,0.2371,35.7975,0.114,46.947,0.3283,0.3606323355807371,
55,en-kk,-1.395,DBMS-KU_ENKK.6730,0.31315189581779795,,-0.8061275504205181,-0.6499210415419213,-0.453222503797907,,0.23019371768971103,,,,,,,,,0.33324680631262527,0.6743363216432866,,0.670684991983968,,,,499.5,newstest2019,1.5854,0.013,41.1035,0.013,-0.3713,0.106,25.7872,-0.3548,38.3668,-0.2542,0.23019371768971103,
56,fi-en,0.285,MSRA.NAO.6983,0.6183632427047697,0.8259011608117329,-0.432607184042303,-0.3246732519016618,0.5373947574198993,,,,0.3781253662414077,0.36469373964409635,0.6155807820641283,0.46410421703907817,0.5516307369789579,,,0.6824050921843686,0.81907225250501,0.7986471427855711,0.7322665986973949,,-469458.5315203893,,2112.003006012024,newstest2019,3.7531,0.1496,58.8458,0.3311,0.4992,0.5291,58.9217,0.4661,59.6997,0.6458,,-0.180190764978
57,fi-en,0.265,online-Y.0,0.6067298806818339,0.8142657911849165,-0.4477305531968607,-0.33642211764162494,0.510566705685736,,,,0.36954782369881295,0.3551046330397521,0.5929254819639278,0.46125011606713423,0.5480991439328657,,,0.671191208767535,0.8059832705410822,0.7849973456913828,0.7295207019038076,,-418857.27226271393,,2112.003006012024,newstest2019,3.5898,0.1387,57.2468,0.3108,0.4831,0.5132,57.1706,0.4503,58.0983,0.6315,,-0.18978244732900001
58,fi-en,0.261,GTCOM-Primary.6946,0.6184332272386813,0.828259277678205,-0.4267638046581313,-0.3213799519246007,0.5398514629295003,,,,0.38107332038937125,0.36801851548305464,0.6158899692885771,0.46364612004008016,0.5516515652705412,,,0.684647754509018,0.8197132079158317,0.799036371743487,0.7321769353707415,,-450921.57322004566,,2112.003006012024,newstest2019,3.7042,0.1477,59.1427,0.3304,0.491,0.5299,59.2012,0.4576,60.0275,0.6431,,-0.17752442864999998
59,fi-en,0.245,USYD.6995,0.6167958383222358,0.8174521869462812,-0.43249180827178624,-0.32791160738179864,0.49010324524715543,,,,0.37245505642393395,0.3573849508437563,0.5783776799098197,0.45805174953707417,0.5436858772945891,,,0.6803187660320642,0.8060334178356713,0.7864098652304609,0.727405020541082,,-473967.6117353527,,2112.003006012024,newstest2019,3.7312,0.1539,58.3473,0.3411,0.499,0.5331,58.5223,0.4694,59.2193,0.6417,,-0.18608829389000003
60,fi-en,0.107,online-B.0,0.5870971878877709,0.7946561365453657,-0.4878807654292669,-0.3628506869316112,0.42807979226011583,,,,0.34845119238500255,0.332710500645637,0.8823574957414829,0.45802221510020036,0.5444503348897796,,,0.6484009644288578,0.7845304509018035,0.7620541558116232,0.731304110721443,,-428876.79716558167,,2112.003006012024,newstest2019,3.4617,0.1293,54.0529,0.2805,0.4585,0.4833,54.1178,0.4275,54.9338,0.598,,-0.21069442447999998
61,fi-en,0.105,Helsinki_NLP.6889,0.5840900542035797,0.7942745896702061,-0.48208636576371194,-0.3597613994572461,0.4367018269901285,,,,0.3512755065366065,0.3348051425605672,0.540095187024048,0.45927529594188377,0.5462561548146293,,,0.6458364183366735,0.7824375561122245,0.761469243486974,0.7275836823647295,,-449418.02505892934,,2112.003006012024,newstest2019,3.3556,0.124,54.356,0.2775,0.4429,0.481,54.1755,0.4117,55.2689,0.604,,-0.21590977530000002
62,fi-en,0.012,online-A.0,0.5679724232848414,0.7754067499078586,-0.5120246347412636,-0.37875175147871665,0.3284444030960331,,,,0.333515401251598,0.3168243334380212,0.8960222473947895,0.4488718286242485,0.5335352746643286,,,0.6279541277555111,0.7576880716432866,0.7348360080160321,0.7272628131262525,,-350219.18366970844,,2112.003006012024,newstest2019,3.2337,0.1135,52.0316,0.2529,0.416,0.45,52.187,0.3833,52.9005,0.5787,,-0.231841188501
63,fi-en,-0.044000000000000004,online-G.0,0.5600681705053046,0.7560279521650685,-0.5294547620022241,-0.38758243607914256,0.24919299528148317,,,,0.33302288397451446,0.3167371201213709,0.44493433426853707,0.4344841606012024,0.5129280908266534,,,0.622030973246493,0.7388227850701402,0.7151148091182364,0.7190733281563126,,-618757.6496862386,,2112.003006012024,newstest2019,3.1553,0.1039,51.0938,0.2302,0.3826,0.4169,50.979,0.3505,51.8399,0.5555,,-0.241698588228
64,fi-en,-0.053,TartuNLP-c.6905,0.5644642817567198,0.7733657552687104,-0.5110140923628086,-0.3796748266240884,0.28477177583894325,,,,0.326632333997925,0.30952316904486377,0.49755810501002,0.45120914603206413,0.5336709417284569,,,0.6246529163326654,0.7559114659318636,0.7347047785571142,0.7358785335671343,,-519558.9260473357,,2112.003006012024,newstest2019,3.1453,0.1121,51.9993,0.2521,0.424,0.4533,52.2039,0.3935,52.6683,0.5697,,-0.245166560358
65,fi-en,-0.071,online-X.0,0.5536930790187404,0.7536102596050752,-0.534131267361134,-0.396633184548068,0.2569020420008662,,,,0.326918463866051,0.30789654366846414,0.5255088084669339,0.44060659052104206,0.5232916983216434,,,0.6173304584168336,0.7216621077154308,0.6999953992985972,0.7094624569138276,,-333184.8237058647,,2112.003006012024,newstest2019,3.1753,0.1128,49.4044,0.2494,0.3968,0.4305,49.2048,0.3708,50.2461,0.5475,,-0.239888721101
66,fi-en,-0.209,parfda.6526,0.5362781759953612,0.7165367777696353,-0.5982066514864669,-0.42259408842458696,0.011731655277192353,,,,0.30592696680886533,0.2885048407410645,0.4120188129759519,0.4121294601227455,0.4823530674498998,,,0.5871434694388777,0.6957528416833668,0.6704969724448897,0.7266114258517034,,-795610.7929283832,,2112.003006012024,newstest2019,3.0252,0.0943,47.6913,0.1974,0.3734,0.3929,47.824,0.3396,48.4531,0.5226,,-0.280890374012
67,fi-en,-0.516,apertium-fin-eng-unconstrained-fien.6449,0.46353658240479195,0.6237201366670624,-0.6714079441164886,-0.4872766780692203,-0.4822203252317089,,,,0.2499335408026367,0.23309713060652418,0.214902201503006,0.35199858761673347,0.3986819280110221,,,0.5093195706412825,0.6065604343687374,0.5803773912825652,0.7116030771543086,,-879278.8965356844,,2112.003006012024,newstest2019,2.2797,0.0424,38.8417,0.0859,0.2604,0.2773,39.5906,0.2364,39.1362,0.4078,,-0.37260516188299997
68,zh-en,0.295,Baidu-system.6940,0.659480437369179,0.8548184268176555,-0.4257787906625474,-0.2954711185633787,0.5068663329528644,,0.7415309869270487,,0.3947421890746365,0.37271698317879953,0.6409314797,,,,,0.7329133790000001,0.836097508,0.815283911,0.7416404665,0.6991071875,,,1000.5,newstest2019,9.1311,0.3963,65.1697,0.3963,0.5079,0.5645,65.7088,0.4735,65.635,0.6927,0.741530986927048,-0.14463958012
69,zh-en,0.266,KSAI-system.6927,0.651063427956561,0.8494433698058128,-0.4426147745059619,-0.30715644235146466,0.49425576390046627,,0.727371355944227,,0.3878441387828052,0.3656067436050191,0.63400622595,,,,,0.7255301059999999,0.831145636,0.8094442764999998,0.740837038,0.698042707,,,1000.5,newstest2019,9.0445,0.3925,63.8717,0.3925,0.4971,0.557,64.674,0.4637,64.3405,0.6829,0.727371355944226,-0.154214986003
